RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
915,4052445,3949520,PT. MORGAN STANLEY INDONESIA,International Nonbank Sub of Domestic Entities,JAKARTA,INDONESIA (OTHER)                       
916,4052267,3949520,"MORGAN STANLEY CAPITAL, S.A. DE C.V.",International Nonbank Sub of Domestic Entities,MEXICO CITY,MEXICO                                  
917,4125732,3949520,LIMITED LIABILITY COMPANY MORGAN STANLEY UKRAINE,International Nonbank Sub of Domestic Entities,KIEV,UKRAINE                                 
918,3936735,3949520,MORGAN STANLEY GROUP (EUROPE),International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
919,3936436,3936735,MORGAN STANLEY REALTY INCORPORATED,Domestic Entity Other,NEW YORK,NY
920,3936502,3949520,MORGAN STANLEY LATAM LLC,Domestic Entity Other,NEW YORK,NY
921,3936146,3949520,MORGAN STANLEY CAPITAL (LUXEMBOURG) S.A.,International Nonbank Sub of Domestic Entities,LUXEMBOURG,LUXEMBOURG                              
922,5435081,3949520,MORGAN STANLEY LIMITED LIABILITY COMPANY,International Nonbank Sub of Domestic Entities,MOSCOW,RUSSIA                                  
923,4054216,3949520,MORGAN STANLEY ADMINISTRADORA DE CARTEIRAS S.A.,International Nonbank Sub of Domestic Entities,SAO PAULO,BRAZIL                                  
924,4045737,3949520,MORGAN STANLEY (THAILAND) LIMITED,International Nonbank Sub of Domestic Entities,BANGKOK,THAILAND                                
925,4045700,3949520,MORGAN STANLEY ASSET MANAGEMENT S.A.,International Nonbank Sub of Domestic Entities,LUXEMBOURG,LUXEMBOURG                              
926,3930126,3949520,MORGAN STANLEY CAPITAL HOLDINGS,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
927,5440870,3949520,"MSPS MEXICO, S. DE R.L. DE C.V.",International Nonbank Sub of Domestic Entities,MEXICO CITY,MEXICO                                  
928,4054908,3949520,"MORGAN STANLEY MEXICO, CASA DE BOLSA, S.A. DE C.V.",International Nonbank Sub of Domestic Entities,MEXICO CITY,MEXICO                                  
929,4309653,3936708,"MORGAN STANLEY HUAXIN FUND MANAGEMENT CO., LTD",International Nonbank Sub of Domestic Entities,SHENZHEN,"CHINA, PEOPLES REPUBLIC OF              "
930,3932924,3936708,MORGAN STANLEY FINANCE (C.I.) LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
931,5726314,3936708,MORGAN STANLEY VENTURE INVESTMENTS LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
932,4054908,3936708,"MORGAN STANLEY MEXICO, CASA DE BOLSA, S.A. DE C.V.",International Nonbank Sub of Domestic Entities,MEXICO CITY,MEXICO                                  
933,4041878,3936708,"MSAM/KOKUSAI (CAYMAN ISLANDS), INC.",International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
934,4041944,3936708,MORGAN STANLEY HUNGARY ANALYTICS LIMITED,International Nonbank Sub of Domestic Entities,BUDAPEST,HUNGARY                                 
935,3968099,3936708,MORGAN STANLEY AUSTRALIA FINANCE PTY LIMITED,International Nonbank Sub of Domestic Entities,SYDNEY,AUSTRALIA                               
