Event,EventDate,OtherInstitutionName,OtherInstitutionID,Notes
Name Changed,5/6/1996,,,"COUNTRYWIDE FUNDING CORPORATION changed to the new name COUNTRYWIDE HOME LOANS, INC.."
Institution Established,12/23/1913,,,"COUNTRYWIDE FUNDING CORPORATION was established as a Domestic Entity Other at No Address,PASADENA, CA."
