RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
1,1073757,,BANK OF AMERICA CORPORATION,Financial Holding Company - Domestic,CHARLOTTE,NC
2,2684598,1073757,BANC OF AMERICA MORTGAGE CAPITAL CORPORATION,Domestic Entity Other,CHARLOTTE,NC
3,1110876,1073757,INDIAN HEAD BANKS INC.,Domestic Entity Other,CHARLOTTE,NC
4,3658868,1073757,BAC CAPITAL TRUST XIV,Domestic Entity Other,CHARLOTTE,NC
5,3658813,1073757,BAC CAPITAL TRUST XIII,Domestic Entity Other,CHARLOTTE,NC
6,5166282,1073757,BOFA FINANCE LLC,Domestic Entity Other,CHARLOTTE,NC
7,3658895,1073757,BAC CAPITAL TRUST XV,Domestic Entity Other,CHARLOTTE,NC
8,2907354,1073757,BAS CAPITAL FUNDING CORPORATION,Domestic Entity Other,CHARLOTTE,NC
9,2717085,2907354,"NMS CAPITAL, L.P.",Finance Company,CHICAGO,IL
10,3811627,1073757,"LSMFI, LLC",Domestic Entity Other,SAN FRANCISCO,CA
11,1026034,1073757,"BANKAMERICA REALTY SERVICES, INC.",Domestic Entity Other,SAN FRANCISCO,CA
12,2549857,1073757,COUNTRYWIDE FINANCIAL CORPORATION,Domestic Entity Other,CALABASAS,CA
13,3388969,2549857,"CWHEQ, INC.",Domestic Entity Other,CALABASAS,CA
14,3388978,2549857,"CWALT, INC.",Domestic Entity Other,CALABASAS,CA
15,3100451,2549857,"CWIBH, INC.",Domestic Entity Other,CALABASAS,CA
16,3033184,2549857,"CWMBS, INC.",Domestic Entity Other,CALABASAS,CA
17,3033205,2549857,CW REINSURANCE COMPANY,Domestic Entity Other,BURLINGTON,VT
18,3033157,2549857,"CW SECURITIES HOLDINGS, INC.",Domestic Entity Other,CALABASAS,CA
19,3267484,3033157,"COUNTRYWIDE COMMERCIAL REAL ESTATE FINANCE, INC.",Domestic Entity Other,CALABASAS,CA
20,3033166,2549857,"CWABS, INC.",Domestic Entity Other,CALABASAS,CA
21,1644643,2549857,"COUNTRYWIDE HOME LOANS, INC.",Domestic Entity Other,CALABASAS,CA
22,2173092,1073757,NB HOLDINGS CORPORATION,Financial Holding Company - Domestic,CHARLOTTE,NC
23,2907288,2173092,"PRLAP, INC.",Domestic Entity Other,KNOXVILLE,TN
24,3867802,2173092,"MERRILL LYNCH CAPITAL SERVICES, INC.",Domestic Entity Other,NEW YORK,NY
25,5335770,3867802,IMOLA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO - INVESTIMENTO NO EXTERIOR,International Nonbank Sub of Domestic Entities,SAO PAULO,BRAZIL                                  
26,3912832,5335770,FUNDO DE INVESTIMENTO MULTIMERCADO AGATA - CREDITO PRIVADO - INVESTIMENTOS NO EXTERIOR,International Nonbank Sub of Domestic Entities,SAO PAULO,BRAZIL                                  
27,4453314,3912832,OPALA CAPITAL FUND LTD.,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
28,3912896,5335770,ACCESS 1 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,International Nonbank Sub of Domestic Entities,SAO PAULO,BRAZIL                                  
29,3599514,2173092,"FLEET GROWTH RESOURCES, INC.",Domestic Entity Other,CHICAGO,IL
30,2907297,2173092,"PRLAP, INC.",Domestic Entity Other,RICHMOND,VA
31,3867790,2173092,"MERRILL LYNCH INTERNATIONAL, LLC",Domestic Entity Other,CHARLOTTE,NC
32,3868238,3867790,"MLDP HOLDINGS, INC.",Domestic Entity Other,NEW YORK,NY
33,3904314,3868238,MERRILL LYNCH DERIVATIVE PRODUCTS AG,International Nonbank Sub of Domestic Entities,ZURICH,SWITZERLAND (OTHER)                     
34,3006085,3867790,MERRILL LYNCH HOPEWELL LLC,Domestic Entity Other,PENNINGTON,NJ
35,3909225,3867790,"MERRILL LYNCH MEXICO, S.A. DE C.V., CASA DE BOLSA",International Nonbank Sub of Domestic Entities,MEXICO CITY,MEXICO                                  
36,3909195,3867790,MERRILL LYNCH REINSURANCE SOLUTIONS LTD,International Nonbank Sub of Domestic Entities,HAMILTON,BERMUDA                                 
37,3868340,3867790,MERRILL LYNCH ISRAEL LTD.,International Nonbank Sub of Domestic Entities,TEL AVIV,ISRAEL                                  
38,3908974,3867790,"MERRILL LYNCH INTERNATIONAL FINANCE, INC.",Domestic Entity Other,NEW YORK,NY
39,3908983,3867790,"EM STRUCTURED INVESTMENTS, LLC",Domestic Entity Other,NEW YORK,NY
40,3908992,3908983,EM COBRANZA S. DE RL DE C.V.,International Nonbank Sub of Domestic Entities,MEXICO CITY,MEXICO                                  
41,3908992,3867790,EM COBRANZA S. DE RL DE C.V.,International Nonbank Sub of Domestic Entities,MEXICO CITY,MEXICO                                  
42,3868005,3867790,"ML IBK POSITIONS, INC.",Domestic Entity Other,CHICAGO,IL
43,3879944,3868005,ROP INVESTMENTS LIMITED,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
44,3879935,3868005,MERRILL LYNCH PORTFOLIO MANAGEMENT INC.,Domestic Entity Other,NEW YORK,NY
45,2307486,3868005,MERRILL LYNCH CAPITAL CORPORATION,Domestic Entity Other,NEW YORK,NY
46,3880016,2307486,"CAP, INC.",Domestic Entity Other,NEW YORK,NY
47,3880025,3880016,"222 BROADWAY, LLC",Domestic Entity Other,NEW YORK,NY
