Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3841314000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",3111606000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2380904000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1881142000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1601224000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",1173776000.0
7,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"WESTLAKE, TX",637557000.0
8,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",591381000.0
9,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",545123000.0
10,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",541012603.0
11,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",516517803.0
12,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",452621000.0
13,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",440287667.0
14,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",300223000.0
15,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",227432464.0
16,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",227186681.0
17,SVB FINANCIAL GROUP                                                                                                     ,1031449,"SANTA CLARA, CA",214399000.0
18,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",212581819.0
19,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",206782168.0
20,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",205413000.0
21,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",205298000.0
22,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO, NY",204032889.0
23,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON, DE",192113613.0
24,KEYCORP                                                                                                                 ,1068025,"CLEVELAND, OH",187227649.0
25,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",185703000.0
