Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",2590050000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",2291858000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",1912334000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1879700000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",968617000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",875875000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",461329000.0
8,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",380796207.0
9,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",378829217.0
10,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",363989302.0
11,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",352928000.0
12,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA                                                                   ,1607170,"NEW YORK, NY",298900658.0
13,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",284283344.0
14,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"SAN FRANCISCO, CA",261882000.0
15,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",248397792.0
16,BB&T CORPORATION                                                                                                        ,1074156,"WINSTON-SALEM, NC",222681000.0
17,"SUNTRUST BANKS, INC.                                                                                                    ",1131787,"ATLANTA, GA",207881500.0
18,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",184848000.0
19,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",171345000.0
