Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3743567000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",3169495000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2291413000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1948068000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1463990000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",1188140000.0
7,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"WESTLAKE, TX",667270000.0
8,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",573284000.0
9,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",557251076.0
10,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",541241000.0
11,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",524425339.0
12,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",444438000.0
13,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",432381054.0
14,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",314624000.0
15,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",239899788.0
16,SVB FINANCIAL GROUP                                                                                                     ,1031449,"SANTA CLARA, CA",211483000.0
17,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",211115886.0
18,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",210747000.0
19,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",209717640.0
20,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON, DE",194497683.0
21,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",188708502.0
22,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",188548000.0
23,KEYCORP                                                                                                                 ,1068025,"CLEVELAND, OH",186455921.0
24,NORTHERN TRUST CORPORATION                                                                                              ,1199611,"CHICAGO, IL",183889795.0
25,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",182114000.0
26,"AMERIPRISE FINANCIAL, INC.                                                                                              ",2433312,"MINNEAPOLIS, MN",175983452.0
27,RBC US GROUP HOLDINGS LLC                                                                                               ,5280254,"TORONTO, CANADA                                  ",174998921.0
28,HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,1068191,"COLUMBUS, OH",174064229.0
29,REGIONS FINANCIAL CORPORATION                                                                                           ,3242838,"BIRMINGHAM, AL",163445000.0
30,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK, NY",163135638.0
31,BARCLAYS US LLC                                                                                                         ,5006575,"NEW YORK, NY",160476000.0
32,"SANTANDER HOLDINGS USA, INC.                                                                                            ",3981856,"BOSTON, MA",159821231.0
33,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO, NY",155072103.0
34,"BNP PARIBAS USA, INC.                                                                                                   ",1575569,"NEW YORK, NY",154892767.0
35,DB USA CORPORATION                                                                                                      ,2816906,"NEW YORK, NY",121669000.0
36,DISCOVER FINANCIAL SERVICES                                                                                             ,3846375,"RIVERWOODS, IL",110241674.0
37,"CREDIT SUISSE HOLDINGS (USA), INC.                                                                                      ",1574834,"NEW YORK, NY",102974348.0
38,SYNCHRONY FINANCIAL                                                                                                     ,4504654,"STAMFORD, CT",95748000.0
39,COMERICA INCORPORATED                                                                                                   ,1199844,"DALLAS, TX",95001000.0
40,FIRST HORIZON CORPORATION                                                                                               ,1094640,"MEMPHIS, TN",89094356.0
41,"POPULAR, INC.                                                                                                           ",1129382,"SAN JUAN, PUERTO RICO                             ",75136000.0
42,"RAYMOND JAMES FINANCIAL, INC.                                                                                           ",3815157,"SAINT PETERSBURG, FL",68460839.0
43,CIBC BANCORP USA INC.                                                                                                   ,5014141,"CHICAGO, IL",65172991.0
44,"PEOPLE'S UNITED FINANCIAL, INC.                                                                                         ",3650152,"BRIDGEPORT, CT",64675497.0
45,"EAST WEST BANCORP, INC.                                                                                                 ",2734233,"PASADENA, CA",60870701.0
46,"NEW YORK COMMUNITY BANCORP, INC.                                                                                        ",2132932,"HICKSVILLE, NY",59527144.0
47,"FIRST CITIZENS BANCSHARES, INC.                                                                                         ",1075612,"RALEIGH, NC",58308140.0
48,SYNOVUS FINANCIAL CORP.                                                                                                 ,1078846,"COLUMBUS, GA",57317226.0
49,WESTERN ALLIANCE BANCORPORATION                                                                                         ,2349815,"PHOENIX, AZ",55982635.0
50,CIT GROUP INC.                                                                                                          ,1036967,"MORRISTOWN, NJ",53239582.0
51,"CULLEN/FROST BANKERS, INC.                                                                                              ",1102367,"SAN ANTONIO, TX",50928808.0
52,BOK FINANCIAL CORPORATION                                                                                               ,1883693,"TULSA, OK",50322495.0
53,WINTRUST FINANCIAL CORPORATION                                                                                          ,2260406,"ROSEMONT, IL",50142143.0
54,MIZUHO AMERICAS LLC                                                                                                     ,5034792,"NEW YORK, NY",47639000.0
55,VALLEY NATIONAL BANCORP                                                                                                 ,1048773,"NEW YORK, NY",43446443.0
56,UMB FINANCIAL CORPORATION                                                                                               ,1049828,"KANSAS CITY, MO",42693484.0
57,JOHN DEERE CAPITAL CORPORATION                                                                                          ,3843075,"RENO, NV",42093300.0
58,SOUTHSTATE CORPORATION                                                                                                  ,1133437,"WINTER HAVEN, FL",41838456.0
59,PACWEST BANCORP                                                                                                         ,2875332,"BEVERLY HILLS, CA",40443344.0
60,F.N.B. CORPORATION                                                                                                      ,3005332,"PITTSBURGH, PA",39547661.0
61,"TIAA FSB HOLDINGS, INC.                                                                                                 ",3838857,"JACKSONVILLE, FL",39078544.0
62,"PINNACLE FINANCIAL PARTNERS, INC.                                                                                       ",2925657,"NASHVILLE, TN",38469399.0
63,"PROSPERITY BANCSHARES, INC.                                                                                             ",1109599,"HOUSTON, TX",37846841.0
64,"COMMERCE BANCSHARES, INC.                                                                                               ",1049341,"KANSAS CITY, MO",36710507.0
65,HANCOCK WHITNEY CORPORATION                                                                                             ,1086533,"GULFPORT, MS",36547422.0
66,"BANKUNITED, INC.                                                                                                        ",4028712,"MIAMI LAKES, FL",35820796.0
67,ASSOCIATED BANC-CORP                                                                                                    ,1199563,"GREEN BAY, WI",35104253.0
68,WEBSTER FINANCIAL CORPORATION                                                                                           ,1145476,"WATERBURY, CT",34915599.0
69,"TEXAS CAPITAL BANCSHARES, INC.                                                                                          ",2706735,"DALLAS, TX",34731738.0
70,STIFEL FINANCIAL CORP.                                                                                                  ,3063622,"SAINT LOUIS, MO",34049715.0
71,MIDLAND FINANCIAL CO.                                                                                                   ,2568278,"OKLAHOMA CITY, OK",32170276.0
72,UMPQUA HOLDINGS CORPORATION                                                                                             ,2747644,"PORTLAND, OR",30640936.0
