Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",2764661000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",2426330000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2014802000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1943950000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1007335000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",902604000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",487671000.0
8,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",409007227.0
9,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",393604024.0
10,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",378810387.0
11,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",373275000.0
12,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA                                                                   ,1607170,"NEW YORK, NY",313002311.0
13,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"SAN FRANCISCO, CA",278987000.0
14,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",270979568.0
15,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",244609000.0
16,BB&T CORPORATION                                                                                                        ,1074156,"WINSTON-SALEM, NC",236750000.0
17,"SUNTRUST BANKS, INC.                                                                                                    ",1131787,"ATLANTA, GA",227580032.0
18,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",194178000.0
19,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",181485000.0
20,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",173748031.0
21,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK, NY",173232364.0
22,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY                                                                          ,3840207,"BLOOMINGTON, IL",172004266.0
23,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",171078869.0
24,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON, DE",168802034.0
25,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",164974535.0
26,BARCLAYS US LLC                                                                                                         ,5006575,"NEW YORK, NY",160711000.0
27,"AMERIPRISE FINANCIAL, INC.                                                                                              ",2433312,"MINNEAPOLIS, MN",149516483.0
28,KEYCORP                                                                                                                 ,1068025,"CLEVELAND, OH",147321059.0
29,"SANTANDER HOLDINGS USA, INC.                                                                                            ",3981856,"BOSTON, MA",147185414.0
30,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",137933307.0
31,"BNP PARIBAS USA, INC.                                                                                                   ",1575569,"NEW YORK, NY",136106657.0
32,REGIONS FINANCIAL CORPORATION                                                                                           ,3242838,"BIRMINGHAM, AL",128436000.0
33,RBC US GROUP HOLDINGS LLC                                                                                               ,5280254,"TORONTO, CANADA                                  ",127046408.0
34,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO, NY",125500926.0
35,NORTHERN TRUST CORPORATION                                                                                              ,1199611,"CHICAGO, IL",124355847.0
36,"CREDIT SUISSE HOLDINGS (USA), INC.                                                                                      ",1574834,"NEW YORK, NY",118455696.0
37,DB USA CORPORATION                                                                                                      ,2816906,"NEW YORK, NY",116770000.0
38,DISCOVER FINANCIAL SERVICES                                                                                             ,3846375,"RIVERWOODS, IL",110785547.0
39,HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,1068191,"COLUMBUS, OH",108735233.0
40,SYNCHRONY FINANCIAL                                                                                                     ,4504654,"STAMFORD, CT",105943000.0
41,"BBVA USA BANCSHARES, INC.                                                                                               ",1078529,"HOUSTON, TX",92933356.0
42,COMERICA INCORPORATED                                                                                                   ,1199844,"DALLAS, TX",73081000.0
