Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3757576000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",3085446000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2361876000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1954901000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1443237000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",1190476000.0
7,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"WESTLAKE, TX",607548000.0
8,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",567495000.0
9,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",554456689.0
10,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",529884000.0
11,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",514438248.0
12,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",470533000.0
13,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",425377455.0
14,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA                                                                   ,1607170,"NEW YORK, NY",338799428.0
15,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",323139000.0
16,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",253913883.0
17,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",211711000.0
18,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",207730841.0
19,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON, DE",195146304.0
20,SVB FINANCIAL GROUP                                                                                                     ,1031449,"SANTA CLARA, CA",190997350.0
21,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",188404238.0
22,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",187548624.0
23,KEYCORP                                                                                                                 ,1068025,"CLEVELAND, OH",187198237.0
24,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",184261000.0
25,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",179184000.0
26,HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,1068191,"COLUMBUS, OH",173878184.0
27,BARCLAYS US LLC                                                                                                         ,5006575,"NEW YORK, NY",173628000.0
28,"AMERIPRISE FINANCIAL, INC.                                                                                              ",2433312,"MINNEAPOLIS, MN",170734024.0
29,NORTHERN TRUST CORPORATION                                                                                              ,1199611,"CHICAGO, IL",169085713.0
30,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK, NY",164592763.0
31,RBC US GROUP HOLDINGS LLC                                                                                               ,5280254,"TORONTO, CANADA                                  ",164028067.0
32,"BNP PARIBAS USA, INC.                                                                                                   ",1575569,"NEW YORK, NY",159180547.0
33,REGIONS FINANCIAL CORPORATION                                                                                           ,3242838,"BIRMINGHAM, AL",156405000.0
34,"SANTANDER HOLDINGS USA, INC.                                                                                            ",3981856,"BOSTON, MA",155860507.0
35,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO, NY",151866238.0
36,DB USA CORPORATION                                                                                                      ,2816906,"NEW YORK, NY",124719000.0
37,DISCOVER FINANCIAL SERVICES                                                                                             ,3846375,"RIVERWOODS, IL",108544181.0
38,"CREDIT SUISSE HOLDINGS (USA), INC.                                                                                      ",1574834,"NEW YORK, NY",105861250.0
39,COMERICA INCORPORATED                                                                                                   ,1199844,"DALLAS, TX",94722000.0
40,SYNCHRONY FINANCIAL                                                                                                     ,4504654,"STAMFORD, CT",91937000.0
41,FIRST HORIZON CORPORATION                                                                                               ,1094640,"MEMPHIS, TN",88538652.0
42,"POPULAR, INC.                                                                                                           ",1129382,"SAN JUAN, PUERTO RICO                             ",74189000.0
43,"PEOPLE'S UNITED FINANCIAL, INC.                                                                                         ",3650152,"BRIDGEPORT, CT",63678281.0
44,"RAYMOND JAMES FINANCIAL, INC.                                                                                           ",3815157,"SAINT PETERSBURG, FL",61891191.0
45,"EAST WEST BANCORP, INC.                                                                                                 ",2734233,"PASADENA, CA",60959110.0
46,CIBC BANCORP USA INC.                                                                                                   ,5014141,"CHICAGO, IL",60536975.0
47,"NEW YORK COMMUNITY BANCORP, INC.                                                                                        ",2132932,"WESTBURY, NY",57890106.0
48,"FIRST CITIZENS BANCSHARES, INC.                                                                                         ",1075612,"RALEIGH, NC",56901977.0
49,SYNOVUS FINANCIAL CORP.                                                                                                 ,1078846,"COLUMBUS, GA",55509129.0
50,CIT GROUP INC.                                                                                                          ,1036967,"MORRISTOWN, NJ",54419992.0
