Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3689336000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",2969992000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2314266000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1959543000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1301553000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",1158772000.0
7,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"WESTLAKE, TX",563457000.0
8,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",553375000.0
9,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",517841282.0
10,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",517537000.0
11,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",474509295.0
12,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",464984000.0
13,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",425175122.0
14,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA                                                                   ,1607170,"NEW YORK, NY",329447831.0
15,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",316885000.0
16,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",248214775.0
17,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",211586858.0
18,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",206899448.0
19,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON, DE",194191120.0
20,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",193067000.0
21,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",187601900.0
22,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",182784211.0
23,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",181879000.0
24,KEYCORP                                                                                                                 ,1068025,"CLEVELAND, OH",176336182.0
25,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK, NY",169968604.0
26,BARCLAYS US LLC                                                                                                         ,5006575,"NEW YORK, NY",169323000.0
27,"AMERIPRISE FINANCIAL, INC.                                                                                              ",2433312,"MINNEAPOLIS, MN",165742866.0
28,NORTHERN TRUST CORPORATION                                                                                              ,1199611,"CHICAGO, IL",163924120.0
29,REGIONS FINANCIAL CORPORATION                                                                                           ,3242838,"BIRMINGHAM, AL",153506000.0
30,RBC US GROUP HOLDINGS LLC                                                                                               ,5280254,"TORONTO, CANADA                                  ",151118796.0
31,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO, NY",150481060.0
32,"BNP PARIBAS USA, INC.                                                                                                   ",1575569,"NEW YORK, NY",147378713.0
33,"SANTANDER HOLDINGS USA, INC.                                                                                            ",3981856,"BOSTON, MA",146590340.0
34,SVB FINANCIAL GROUP                                                                                                     ,1031449,"SANTA CLARA, CA",142376241.0
35,HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,1068191,"COLUMBUS, OH",125767695.0
36,"CREDIT SUISSE HOLDINGS (USA), INC.                                                                                      ",1574834,"NEW YORK, NY",119785872.0
37,DISCOVER FINANCIAL SERVICES                                                                                             ,3846375,"RIVERWOODS, IL",113870558.0
38,DB USA CORPORATION                                                                                                      ,2816906,"NEW YORK, NY",110097000.0
39,"BBVA USA BANCSHARES, INC.                                                                                               ",1078529,"HOUSTON, TX",103983398.0
40,SYNCHRONY FINANCIAL                                                                                                     ,4504654,"STAMFORD, CT",95854000.0
41,FIRST HORIZON CORPORATION                                                                                               ,1094640,"MEMPHIS, TN",87514273.0
42,COMERICA INCORPORATED                                                                                                   ,1199844,"DALLAS, TX",86475000.0
43,"POPULAR, INC.                                                                                                           ",1129382,"SAN JUAN, PUERTO RICO                             ",66870000.0
44,"PEOPLE'S UNITED FINANCIAL, INC.                                                                                         ",3650152,"BRIDGEPORT, CT",64165561.0
45,"NEW YORK COMMUNITY BANCORP, INC.                                                                                        ",2132932,"WESTBURY, NY",57656892.0
46,CIBC BANCORP USA INC.                                                                                                   ,5014141,"CHICAGO, IL",57359350.0
47,"EAST WEST BANCORP, INC.                                                                                                 ",2734233,"PASADENA, CA",56874146.0
48,"RAYMOND JAMES FINANCIAL, INC.                                                                                           ",3815157,"SAINT PETERSBURG, FL",56065901.0
49,CIT GROUP INC.                                                                                                          ,1036967,"LIVINGSTON, NJ",56049092.0
50,SYNOVUS FINANCIAL CORP.                                                                                                 ,1078846,"COLUMBUS, GA",55159011.0
51,"FIRST CITIZENS BANCSHARES, INC.                                                                                         ",1075612,"RALEIGH, NC",53908606.0
52,TCF FINANCIAL CORPORATION                                                                                               ,1201934,"DETROIT, MI",49481947.0
53,BOK FINANCIAL CORPORATION                                                                                               ,1883693,"TULSA, OK",47495253.0
54,MIZUHO AMERICAS LLC                                                                                                     ,5034792,"NEW YORK, NY",46986000.0
55,WINTRUST FINANCIAL CORPORATION                                                                                          ,2260406,"ROSEMONT, IL",45682202.0
56,"CULLEN/FROST BANKERS, INC.                                                                                              ",1102367,"SAN ANTONIO, TX",44092659.0
57,WESTERN ALLIANCE BANCORPORATION                                                                                         ,2349815,"PHOENIX, AZ",43397016.0
58,JOHN DEERE CAPITAL CORPORATION                                                                                          ,3843075,"RENO, NV",41432554.0
59,VALLEY NATIONAL BANCORP                                                                                                 ,1048773,"NEW YORK, NY",41178011.0
60,"TEXAS CAPITAL BANCSHARES, INC.                                                                                          ",2706735,"DALLAS, TX",40054433.0
61,SOUTH STATE CORPORATION                                                                                                 ,1133437,"WINTER HAVEN, FL",39730332.0
62,F.N.B. CORPORATION                                                                                                      ,3005332,"PITTSBURGH, PA",38624853.0
63,"PROSPERITY BANCSHARES, INC.                                                                                             ",1109599,"HOUSTON, TX",35576842.0
64,"PINNACLE FINANCIAL PARTNERS, INC.                                                                                       ",2925657,"NASHVILLE, TN",35299705.0
65,"BANKUNITED, INC.                                                                                                        ",4028712,"MIAMI LAKES, FL",35185011.0
66,HANCOCK WHITNEY CORPORATION                                                                                             ,1086533,"GULFPORT, MS",35081311.0
67,UMB FINANCIAL CORPORATION                                                                                               ,1049828,"KANSAS CITY, MO",34669389.0
68,ASSOCIATED BANC-CORP                                                                                                    ,1199563,"GREEN BAY, WI",34575255.0
69,WEBSTER FINANCIAL CORPORATION                                                                                           ,1145476,"WATERBURY, CT",33313918.0
70,"COMMERCE BANCSHARES, INC.                                                                                               ",1049341,"KANSAS CITY, MO",33290745.0
71,PACWEST BANCORP                                                                                                         ,2875332,"BEVERLY HILLS, CA",32856533.0
72,MIDLAND FINANCIAL CO.                                                                                                   ,2568278,"OKLAHOMA CITY, OK",31514917.0
73,UMPQUA HOLDINGS CORPORATION                                                                                             ,2747644,"PORTLAND, OR",30036680.0
74,STERLING BANCORP                                                                                                        ,3083291,"PEARL RIVER, NY",29914282.0
75,"FLAGSTAR BANCORP, INC.                                                                                                  ",3852022,"TROY, MI",29448901.0
76,STIFEL FINANCIAL CORP.                                                                                                  ,3063622,"SAINT LOUIS, MO",28141581.0
77,"UNITED BANKSHARES, INC.                                                                                                 ",1076217,"CHARLESTON, WV",27030755.0
78,"ARVEST BANK GROUP, INC.                                                                                                 ",1095674,"BENTONVILLE, AR",26281127.0
79,FIRSTBANK HOLDING COMPANY                                                                                               ,1060627,"LAKEWOOD, CO",25948259.0
80,FULTON FINANCIAL CORPORATION                                                                                            ,1117129,"LANCASTER, PA",25861385.0
81,"INVESTORS BANCORP, INC.                                                                                                 ",2477754,"SHORT HILLS, NJ",25835958.0
82,"FIRST NATIONAL OF NEBRASKA, INC.                                                                                        ",1020902,"OMAHA, NE",25538755.0
83,OLD NATIONAL BANCORP                                                                                                    ,1098303,"EVANSVILLE, IN",23744475.0
84,"SMBC AMERICAS HOLDINGS, INC.                                                                                            ",2170804,"NEW YORK, NY",23506663.0
85,"FIRST HAWAIIAN, INC.                                                                                                    ",1025608,"HONOLULU, HI",23497596.0
86,SIMMONS FIRST NATIONAL CORPORATION                                                                                      ,1094828,"PINE BLUFF, AR",23348318.0
87,BANK OF HAWAII CORPORATION                                                                                              ,1025309,"HONOLULU, HI",21947271.0
88,AMERIS BANCORP                                                                                                          ,1082067,"ATLANTA, GA",21429118.0
89,"FIRST MIDWEST BANCORP, INC.                                                                                             ",1208184,"CHICAGO, IL",21208591.0
90,"PACIFIC PREMIER BANCORP, INC.                                                                                           ",3489594,"IRVINE, CA",20173298.0
91,ATLANTIC UNION BANKSHARES CORPORATION                                                                                   ,1971693,"RICHMOND, VA",19855522.0
92,"GLACIER BANCORP, INC.                                                                                                   ",2003975,"KALISPELL, MT",19770552.0
93,"BCI FINANCIAL GROUP, INC.                                                                                               ",3762457,"MIAMI, FL",19749088.0
94,"WASHINGTON FEDERAL, INC.                                                                                                ",3065617,"SEATTLE, WA",19533581.0
95,FIRST BANCORP                                                                                                           ,2744894,"SAN JUAN, PUERTO RICO                             ",19413734.0
96,CATHAY GENERAL BANCORP                                                                                                  ,1843080,"LOS ANGELES, CA",19233327.0
97,"CUSTOMERS BANCORP, INC                                                                                                  ",4284536,"WEST READING, PA",18993579.0
98,"CENTRAL BANCOMPANY, INC                                                                                                 ",1094314,"JEFFERSON CITY, MO",18967427.0
99,"EB ACQUISITION COMPANY, LLC                                                                                             ",4759669,"UNIVERSITY PARK, TX",18944668.0
100,EB ACQUISITION COMPANY II LLC                                                                                           ,5375459,"UNIVERSITY PARK, TX",18944668.0
101,CADENCE BANCORPORATION                                                                                                  ,4882802,"HOUSTON, TX",18800692.0
102,"UNITED COMMUNITY BANKS, INC.                                                                                            ",1249347,"BLAIRSVILLE, GA",18559176.0
103,"FIRST INTERSTATE BANCSYSTEM, INC.                                                                                       ",1123670,"BILLINGS, MT",18444783.0
104,"HEARTLAND FINANCIAL USA, INC.                                                                                           ",1206546,"DUBUQUE, IA",18244427.0
105,"INDEPENDENT BANK GROUP, INC.                                                                                            ",3140288,"MCKINNEY, TX",18115336.0
106,"MACY'S, INC.                                                                                                            ",4103310,"NEW YORK, NY",17706093.0
107,"HILLTOP HOLDINGS, INC                                                                                                   ",3838727,"UNIVERSITY PARK, TX",17682837.0
108,"COLUMBIA BANKING SYSTEM, INC.                                                                                           ",2078816,"TACOMA, WA",17336303.0
109,"HOME BANCSHARES, INC.                                                                                                   ",1491409,"CONWAY, AR",17240241.0
110,"HOPE BANCORP, INC.                                                                                                      ",2961879,"LOS ANGELES, CA",17198922.0
111,"WESBANCO, INC.                                                                                                          ",1070448,"WHEELING, WV",17057822.0
112,TRUSTMARK CORPORATION                                                                                                   ,1079562,"JACKSON, MS",16878313.0
113,EASTERN BANKSHARES INC                                                                                                  ,1427239,"BOSTON, MA",16727852.0
114,"APPLE FINANCIAL HOLDINGS, INC.                                                                                          ",3446412,"NEW YORK, NY",16213371.0
115,FIRST FINANCIAL BANCORP                                                                                                 ,1071276,"CINCINNATI, OH",16175071.0
116,BANNER CORPORATION                                                                                                      ,2126977,"WALLA WALLA, WA",16119792.0
