Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3684256000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",3029894000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2327868000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1945996000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1387925000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",1161805000.0
7,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"WESTLAKE, TX",574532000.0
8,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",558886000.0
9,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",554775840.0
10,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",521964000.0
11,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",514167904.0
12,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",466963000.0
13,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",423420289.0
14,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA                                                                   ,1607170,"NEW YORK, NY",333824481.0
15,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",326528000.0
16,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",245439915.0
17,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",209223041.0
18,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",205389958.0
19,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON, DE",193282705.0
20,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",186973000.0
21,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",185540963.0
22,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",183777362.0
23,KEYCORP                                                                                                                 ,1068025,"CLEVELAND, OH",181526852.0
24,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",180470000.0
25,HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,1068191,"COLUMBUS, OH",175172057.0
26,BARCLAYS US LLC                                                                                                         ,5006575,"NEW YORK, NY",174104000.0
27,NORTHERN TRUST CORPORATION                                                                                              ,1199611,"CHICAGO, IL",172291118.0
28,"AMERIPRISE FINANCIAL, INC.                                                                                              ",2433312,"MINNEAPOLIS, MN",171708711.0
29,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK, NY",165296439.0
30,SVB FINANCIAL GROUP                                                                                                     ,1031449,"SANTA CLARA, CA",163402747.0
31,RBC US GROUP HOLDINGS LLC                                                                                               ,5280254,"TORONTO, CANADA                                  ",158067289.0
32,REGIONS FINANCIAL CORPORATION                                                                                           ,3242838,"BIRMINGHAM, AL",155754000.0
33,"SANTANDER HOLDINGS USA, INC.                                                                                            ",3981856,"BOSTON, MA",155185643.0
34,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO, NY",150589668.0
35,"BNP PARIBAS USA, INC.                                                                                                   ",1575569,"NEW YORK, NY",150254227.0
36,DB USA CORPORATION                                                                                                      ,2816906,"NEW YORK, NY",119365000.0
37,DISCOVER FINANCIAL SERVICES                                                                                             ,3846375,"RIVERWOODS, IL",110984921.0
38,"CREDIT SUISSE HOLDINGS (USA), INC.                                                                                      ",1574834,"NEW YORK, NY",103653243.0
