Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3246923000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",2738452000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2234459000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1922220000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1132067000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",955940000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",540455000.0
8,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",499183000.0
9,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",488419933.0
10,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",461914327.0
11,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",428398000.0
12,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",421882809.0
13,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"SAN FRANCISCO, CA",419355000.0
14,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA                                                                   ,1607170,"NEW YORK, NY",321950958.0
15,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",272083000.0
16,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",264462138.0
17,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",201995877.0
18,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",193691263.0
19,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",187255000.0
20,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY                                                                          ,3840207,"BLOOMINGTON, IL",186283299.0
21,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON, DE",186216125.0
22,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",185270000.0
23,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",179583426.0
24,KEYCORP                                                                                                                 ,1068025,"CLEVELAND, OH",171342434.0
