Rank,Name,RSSDID,Location,TotalAsset
25,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK, NY",164029126.0
26,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",159252075.0
27,"AMERIPRISE FINANCIAL, INC.                                                                                              ",2433312,"MINNEAPOLIS, MN",158698294.0
28,BARCLAYS US LLC                                                                                                         ,5006575,"NEW YORK, NY",156337000.0
29,NORTHERN TRUST CORPORATION                                                                                              ,1199611,"CHICAGO, IL",152082009.0
30,"SANTANDER HOLDINGS USA, INC.                                                                                            ",3981856,"BOSTON, MA",145739595.0
31,REGIONS FINANCIAL CORPORATION                                                                                           ,3242838,"BIRMINGHAM, AL",145447000.0
32,RBC US GROUP HOLDINGS LLC                                                                                               ,5280254,"TORONTO, CANADA                                  ",142992697.0
33,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO, NY",138626743.0
34,"BNP PARIBAS USA, INC.                                                                                                   ",1575569,"NEW YORK, NY",137262707.0
35,"CREDIT SUISSE HOLDINGS (USA), INC.                                                                                      ",1574834,"NEW YORK, NY",124652457.0
36,DISCOVER FINANCIAL SERVICES                                                                                             ,3846375,"RIVERWOODS, IL",124349382.0
37,HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,1068191,"COLUMBUS, OH",120116074.0
38,DB USA CORPORATION                                                                                                      ,2816906,"NEW YORK, NY",119009000.0
39,"BBVA USA BANCSHARES, INC.                                                                                               ",1078529,"HOUSTON, TX",103652922.0
40,SVB FINANCIAL GROUP                                                                                                     ,1031449,"SANTA CLARA, CA",97086855.0
41,SYNCHRONY FINANCIAL                                                                                                     ,4504654,"STAMFORD, CT",95658000.0
42,COMERICA INCORPORATED                                                                                                   ,1199844,"DALLAS, TX",83791000.0
43,FIRST HORIZON NATIONAL CORPORATION                                                                                      ,1094640,"MEMPHIS, TN",83030597.0
44,E*TRADE FINANCIAL CORPORATION                                                                                           ,3412583,"ARLINGTON, VA",71377180.0
45,"POPULAR, INC.                                                                                                           ",1129382,"SAN JUAN, PUERTO RICO                             ",65910000.0
46,CIT GROUP INC.                                                                                                          ,1036967,"LIVINGSTON, NJ",60864971.0
47,"PEOPLE'S UNITED FINANCIAL, INC.                                                                                         ",3650152,"BRIDGEPORT, CT",60851412.0
48,"NEW YORK COMMUNITY BANCORP, INC.                                                                                        ",2132932,"WESTBURY, NY",54931755.0
49,CIBC BANCORP USA INC.                                                                                                   ,5014141,"CHICAGO, IL",53357983.0
50,SYNOVUS FINANCIAL CORP.                                                                                                 ,1078846,"COLUMBUS, GA",53040538.0
51,"EAST WEST BANCORP, INC.                                                                                                 ",2734233,"PASADENA, CA",50371477.0
52,"FIRST CITIZENS BANCSHARES, INC.                                                                                         ",1075612,"RALEIGH, NC",48666873.0
53,MIZUHO AMERICAS LLC                                                                                                     ,5034792,"NEW YORK, NY",48056000.0
54,TCF FINANCIAL CORPORATION                                                                                               ,1201934,"DETROIT, MI",47585043.0
55,"RAYMOND JAMES FINANCIAL, INC.                                                                                           ",3815157,"SAINT PETERSBURG, FL",47481741.0
56,BOK FINANCIAL CORPORATION                                                                                               ,1883693,"TULSA, OK",46086346.0
57,WINTRUST FINANCIAL CORPORATION                                                                                          ,2260406,"ROSEMONT, IL",43731064.0
58,JOHN DEERE CAPITAL CORPORATION                                                                                          ,3843075,"RENO, NV",41486090.0
59,VALLEY NATIONAL BANCORP                                                                                                 ,1048773,"NEW YORK, NY",40747492.0
60,"CULLEN/FROST BANKERS, INC.                                                                                              ",1102367,"SAN ANTONIO, TX",40169907.0
61,"TEXAS CAPITAL BANCSHARES, INC.                                                                                          ",2706735,"DALLAS, TX",38432872.0
62,SOUTH STATE CORPORATION                                                                                                 ,1133437,"WINTER HAVEN, FL",37819366.0
63,F.N.B. CORPORATION                                                                                                      ,3005332,"PITTSBURGH, PA",37525747.0
64,"BANKUNITED, INC.                                                                                                        ",4028712,"MIAMI LAKES, FL",35034610.0
65,ASSOCIATED BANC-CORP                                                                                                    ,1199563,"GREEN BAY, WI",34698746.0
66,"PINNACLE FINANCIAL PARTNERS, INC.                                                                                       ",2925657,"NASHVILLE, TN",33824931.0
67,WESTERN ALLIANCE BANCORPORATION                                                                                         ,2349815,"PHOENIX, AZ",33335506.0
68,"PROSPERITY BANCSHARES, INC.                                                                                             ",1109599,"HOUSTON, TX",33283406.0
69,HANCOCK WHITNEY CORPORATION                                                                                             ,1086533,"GULFPORT, MS",33202225.0
70,WEBSTER FINANCIAL CORPORATION                                                                                           ,1145476,"WATERBURY, CT",33048617.0
71,"COMMERCE BANCSHARES, INC.                                                                                               ",1049341,"KANSAS CITY, MO",31469268.0
72,STERLING BANCORP                                                                                                        ,3083291,"PEARL RIVER, NY",30617722.0
73,UMB FINANCIAL CORPORATION                                                                                               ,1049828,"KANSAS CITY, MO",30250972.0
74,"FLAGSTAR BANCORP, INC.                                                                                                  ",3852022,"TROY, MI",29475693.0
75,UMPQUA HOLDINGS CORPORATION                                                                                             ,2747644,"PORTLAND, OR",29437441.0
76,PACWEST BANCORP                                                                                                         ,2875332,"BEVERLY HILLS, CA",28426716.0
77,MIDLAND FINANCIAL CO.                                                                                                   ,2568278,"OKLAHOMA CITY, OK",28185826.0
78,"INVESTORS BANCORP, INC.                                                                                                 ",2477754,"SHORT HILLS, NJ",26611073.0
79,"UNITED BANKSHARES, INC.                                                                                                 ",1076217,"CHARLESTON, WV",25931308.0
80,STIFEL FINANCIAL CORP.                                                                                                  ,3063622,"SAINT LOUIS, MO",25549182.0
81,FULTON FINANCIAL CORPORATION                                                                                            ,1117129,"LANCASTER, PA",25520686.0
82,"SMBC AMERICAS HOLDINGS, INC.                                                                                            ",2170804,"NEW YORK, NY",24735919.0
83,"FIRST NATIONAL OF NEBRASKA, INC.                                                                                        ",1020902,"OMAHA, NE",24209379.0
84,"ARVEST BANK GROUP, INC.                                                                                                 ",1095674,"BENTONVILLE, AR",24049630.0
85,FIRSTBANK HOLDING COMPANY                                                                                               ,1060627,"LAKEWOOD, CO",23541779.0
86,OLD NATIONAL BANCORP                                                                                                    ,1098303,"EVANSVILLE, IN",22460493.0
87,"FIRST HAWAIIAN, INC.                                                                                                    ",1025608,"HONOLULU, HI",22310701.0
88,SIMMONS FIRST NATIONAL CORPORATION                                                                                      ,1094828,"PINE BLUFF, AR",21442435.0
89,"FIRST MIDWEST BANCORP, INC.                                                                                             ",1208184,"CHICAGO, IL",21088143.0
90,BANK OF HAWAII CORPORATION                                                                                              ,1025309,"HONOLULU, HI",20109489.0
91,ATLANTIC UNION BANKSHARES CORPORATION                                                                                   ,1971693,"RICHMOND, VA",19931436.0
92,AMERIS BANCORP                                                                                                          ,1082067,"ATLANTA, GA",19873859.0
93,"PACIFIC PREMIER BANCORP, INC.                                                                                           ",3489594,"IRVINE, CA",19844240.0
94,CATHAY GENERAL BANCORP                                                                                                  ,1843080,"LOS ANGELES, CA",19018238.0
95,"WASHINGTON FEDERAL, INC.                                                                                                ",3065617,"SEATTLE, WA",18794055.0
96,"CUSTOMERS BANCORP, INC                                                                                                  ",4284536,"WEST READING, PA",18778727.0
97,FIRST BANCORP                                                                                                           ,2744894,"SAN JUAN, PUERTO RICO                             ",18659768.0
98,"EB ACQUISITION COMPANY, LLC                                                                                             ",4759669,"UNIVERSITY PARK, TX",18539337.0
99,EB ACQUISITION COMPANY II LLC                                                                                           ,5375459,"UNIVERSITY PARK, TX",18539337.0
100,CADENCE BANCORPORATION                                                                                                  ,4882802,"HOUSTON, TX",18404901.0
101,"GLACIER BANCORP, INC.                                                                                                   ",2003975,"KALISPELL, MT",17926067.0
102,"MACY'S, INC.                                                                                                            ",4103310,"NEW YORK, NY",17613768.0
103,"CENTRAL BANCOMPANY, INC                                                                                                 ",1094314,"JEFFERSON CITY, MO",17440446.0
104,"BCI FINANCIAL GROUP, INC.                                                                                               ",3762457,"MIAMI, FL",17394247.0
105,"UNITED COMMUNITY BANKS, INC.                                                                                            ",1249347,"BLAIRSVILLE, GA",17165665.0
106,"INDEPENDENT BANK GROUP, INC.                                                                                            ",3140288,"MCKINNEY, TX",17117007.0
107,"FIRST INTERSTATE BANCSYSTEM, INC.                                                                                       ",1123670,"BILLINGS, MT",17069375.0
108,"HILLTOP HOLDINGS, INC                                                                                                   ",3838727,"UNIVERSITY PARK, TX",16935552.0
109,"HOPE BANCORP, INC.                                                                                                      ",2961879,"LOS ANGELES, CA",16733979.0
110,"WESBANCO, INC.                                                                                                          ",1070448,"WHEELING, WV",16558967.0
111,"HOME BANCSHARES, INC.                                                                                                   ",1491409,"CONWAY, AR",16549758.0
112,"APPLE FINANCIAL HOLDINGS, INC.                                                                                          ",3446412,"NEW YORK, NY",16332148.0
113,"COLUMBIA BANKING SYSTEM, INC.                                                                                           ",2078816,"TACOMA, WA",16233423.0
114,FIRST FINANCIAL BANCORP                                                                                                 ,1071276,"CINCINNATI, OH",15925647.0
115,"HEARTLAND FINANCIAL USA, INC.                                                                                           ",1206546,"DUBUQUE, IA",15612664.0
116,TRUSTMARK CORPORATION                                                                                                   ,1079562,"JACKSON, MS",15558162.0
117,EASTERN BANK CORPORATION                                                                                                ,1427239,"BOSTON, MA",15464201.0
118,BREMER FINANCIAL CORPORATION                                                                                            ,1020180,"SAINT PAUL, MN",15399190.0
119,RENASANT CORPORATION                                                                                                    ,1098844,"TUPELO, MS",14808933.0
120,"THIRD FEDERAL SAVINGS AND LOAN ASSOCIATION OF CLEVELAND, MHC                                                            ",3828036,"CLEVELAND, OH",14642166.0
121,BANNER CORPORATION                                                                                                      ,2126977,"WALLA WALLA, WA",14642075.0
122,"HAWAIIAN ELECTRIC INDUSTRIES, INC.                                                                                      ",3842957,"HONOLULU, HI",14542361.0
123,"PINNACLE BANCORP, INC.                                                                                                  ",1053272,"OMAHA, NE",14241290.0
124,NORTHWEST BANCSHARES INC                                                                                                ,4122722,"WARREN, PA",13943884.0
125,"COMMUNITY BANK SYSTEM, INC.                                                                                             ",1048867,"DEWITT, NY",13845325.0
126,WSFS FINANCIAL CORPORATION                                                                                              ,3844269,"WILMINGTON, DE",13830108.0
127,CVB FINANCIAL CORP.                                                                                                     ,1029222,"ONTARIO, CA",13818711.0
128,FIRST MERCHANTS CORPORATION                                                                                             ,1208559,"MUNCIE, IN",13737350.0
129,INTERNATIONAL BANCSHARES CORPORATION                                                                                    ,1104231,"LAREDO, TX",13591774.0
130,"AXOS FINANCIAL, INC.                                                                                                    ",3814310,"LAS VEGAS, NV",13382238.0
131,INDEPENDENT BANK CORP.                                                                                                  ,1136803,"ROCKLAND, MA",13181816.0
132,"PROVIDENT FINANCIAL SERVICES, INC.                                                                                      ",3133637,"JERSEY CITY, NJ",12871322.0
133,"SANDY SPRING BANCORP, INC.                                                                                              ",1248304,"OLNEY, MD",12678131.0
134,FIRST AMERICAN FINANCIAL CORPORATION                                                                                    ,1250101,"SANTA ANA, CA",12638810.0
135,"BERKSHIRE HILLS BANCORP, INC                                                                                            ",2333663,"BOSTON, MA",12617644.0
136,"GREAT WESTERN BANCORP, INC.                                                                                             ",4809920,"SIOUX FALLS, SD",12604439.0
137,OCEANFIRST FINANCIAL CORP.                                                                                              ,2609975,"TOMS RIVER, NJ",11664161.0
138,"SERVISFIRST BANCSHARES, INC.                                                                                            ",3635319,"HOMEWOOD, AL",11394874.0
139,FB FINANCIAL CORPORATION                                                                                                ,1132104,"NASHVILLE, TN",11010438.0
140,NBT BANCORP INC.                                                                                                        ,1139279,"NORWICH, NY",10850212.0
141,"DISCOUNT BANCORP, INC.                                                                                                  ",2894230,"NEW YORK, NY",10669451.0
142,"FIRST FINANCIAL BANKSHARES, INC.                                                                                        ",1102312,"ABILENE, TX",10567652.0
143,FIRST BUSEY CORPORATION                                                                                                 ,1203602,"CHAMPAIGN, IL",10539628.0
144,"SPEND LIFE WISELY COMPANY, INC.                                                                                         ",1058398,"DURANT, OK",10371239.0
145,BEAL FINANCIAL CORPORATION                                                                                              ,3818804,"PLANO, TX",10168560.0
146,"EAGLE BANCORP, INC.                                                                                                     ",2652104,"BETHESDA, MD",10106294.0
147,OFG BANCORP                                                                                                             ,2490575,"SAN JUAN, PUERTO RICO                             ",10018991.0
