Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3665743000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",3051215000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2416676000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1881016000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1441799000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",1180231000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",674805000.0
8,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",557293582.0
9,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",555255000.0
10,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"WESTLAKE, TX",551772000.0
11,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",504886171.0
12,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",455249080.0
13,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",405783000.0
14,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",301450000.0
15,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",228354000.0
16,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",227087186.0
17,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",212813140.0
18,SVB FINANCIAL GROUP                                                                                                     ,1031449,"SANTA CLARA, CA",211786000.0
19,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",207452357.0
20,BMO FINANCIAL CORP.                                                                                                     ,1245415,"CHICAGO, IL",205550971.0
21,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",204090000.0
22,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",201776800.0
23,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO, NY",200729841.0
24,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",191826000.0
