Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3744305000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",3194657000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2455113000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1886400000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1538349000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",1199904000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",682377000.0
8,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",574354000.0
9,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",561825217.0
10,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"WESTLAKE, TX",535552000.0
11,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",514340364.0
12,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",471660065.0
13,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",425112000.0
14,BMO FINANCIAL CORP.                                                                                                     ,1245415,"CHICAGO, IL",295194121.0
15,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",290816000.0
16,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",235842000.0
17,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",222655782.0
18,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",217026543.0
19,"FIRST CITIZENS BANCSHARES, INC.                                                                                         ",1075612,"RALEIGH, NC",214710674.0
20,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",208657000.0
