Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3140887000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",2619954000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2220114000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1981349000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1089759000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",947795000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",542909000.0
8,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",506229000.0
9,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",468155000.0
10,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",447268871.0
11,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",445567546.0
12,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",396878031.0
13,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"SAN FRANCISCO, CA",370779000.0
14,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",362528000.0
15,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA                                                                   ,1607170,"NEW YORK, NY",315995555.0
16,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",297535664.0
17,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON, DE",187756342.0
18,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",186054000.0
19,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",185391070.0
20,"BNP PARIBAS USA, INC.                                                                                                   ",1575569,"NEW YORK, NY",183085293.0
21,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",182527000.0
22,BARCLAYS US LLC                                                                                                         ,5006575,"NEW YORK, NY",179955000.0
23,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",178003356.0
24,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",176981456.0
25,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY                                                                          ,3840207,"BLOOMINGTON, IL",166298854.0
26,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK, NY",165696005.0
27,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",163259851.0
28,NORTHERN TRUST CORPORATION                                                                                              ,1199611,"CHICAGO, IL",161709179.0
29,KEYCORP                                                                                                                 ,1068025,"CLEVELAND, OH",157003466.0
