Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3214218000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",2741688000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2232799000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1968766000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1141526000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",975363000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",546652000.0
8,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",504336000.0
9,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",475630910.0
10,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",459038463.0
11,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",442316000.0
12,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",421296047.0
13,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"SAN FRANCISCO, CA",400484000.0
14,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA                                                                   ,1607170,"NEW YORK, NY",320700731.0
15,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",283450287.0
16,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",280242000.0
17,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",202905624.0
18,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",189946127.0
19,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",188602000.0
20,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON, DE",186689150.0
21,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",184061000.0
22,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",180245568.0
23,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY                                                                          ,3840207,"BLOOMINGTON, IL",175115288.0
24,KEYCORP                                                                                                                 ,1068025,"CLEVELAND, OH",172038748.0
25,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK, NY",167350260.0
26,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",161825710.0
27,"AMERIPRISE FINANCIAL, INC.                                                                                              ",2433312,"MINNEAPOLIS, MN",154916247.0
28,"SANTANDER HOLDINGS USA, INC.                                                                                            ",3981856,"BOSTON, MA",152353787.0
29,NORTHERN TRUST CORPORATION                                                                                              ,1199611,"CHICAGO, IL",151432861.0
30,BARCLAYS US LLC                                                                                                         ,5006575,"NEW YORK, NY",148325000.0
31,REGIONS FINANCIAL CORPORATION                                                                                           ,3242838,"BIRMINGHAM, AL",144373000.0
32,RBC US GROUP HOLDINGS LLC                                                                                               ,5280254,"TORONTO, CANADA                                  ",141563437.0
33,"BNP PARIBAS USA, INC.                                                                                                   ",1575569,"NEW YORK, NY",141503686.0
34,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO, NY",139536969.0
35,"CREDIT SUISSE HOLDINGS (USA), INC.                                                                                      ",1574834,"NEW YORK, NY",121584064.0
36,HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,1068191,"COLUMBUS, OH",118424506.0
37,DB USA CORPORATION                                                                                                      ,2816906,"NEW YORK, NY",114728000.0
38,DISCOVER FINANCIAL SERVICES                                                                                             ,3846375,"RIVERWOODS, IL",113791749.0
39,"BBVA USA BANCSHARES, INC.                                                                                               ",1078529,"HOUSTON, TX",102267616.0
40,SYNCHRONY FINANCIAL                                                                                                     ,4504654,"STAMFORD, CT",96544000.0
41,SVB FINANCIAL GROUP                                                                                                     ,1031449,"SANTA CLARA, CA",86005685.0
42,COMERICA INCORPORATED                                                                                                   ,1199844,"DALLAS, TX",84603000.0
43,E*TRADE FINANCIAL CORPORATION                                                                                           ,3412583,"ARLINGTON, VA",70370810.0
44,"POPULAR, INC.                                                                                                           ",1129382,"SAN JUAN, PUERTO RICO                             ",62845000.0
45,CIT GROUP INC.                                                                                                          ,1036967,"LIVINGSTON, NJ",61702438.0
46,"PEOPLE'S UNITED FINANCIAL, INC.                                                                                         ",3650152,"BRIDGEPORT, CT",61490450.0
47,"NEW YORK COMMUNITY BANCORP, INC.                                                                                        ",2132932,"WESTBURY, NY",54210416.0
48,SYNOVUS FINANCIAL CORP.                                                                                                 ,1078846,"COLUMBUS, GA",54121989.0
49,CIBC BANCORP USA INC.                                                                                                   ,5014141,"CHICAGO, IL",52272686.0
50,TCF FINANCIAL CORPORATION                                                                                               ,1201934,"DETROIT, MI",50080683.0
51,"EAST WEST BANCORP, INC.                                                                                                 ",2734233,"PASADENA, CA",49407593.0
52,FIRST HORIZON NATIONAL CORPORATION                                                                                      ,1094640,"MEMPHIS, TN",48646800.0
53,"FIRST CITIZENS BANCSHARES, INC.                                                                                         ",1075612,"RALEIGH, NC",47866194.0
54,MIZUHO AMERICAS LLC                                                                                                     ,5034792,"NEW YORK, NY",47522000.0
55,BOK FINANCIAL CORPORATION                                                                                               ,1883693,"TULSA, OK",45862893.0
56,"RAYMOND JAMES FINANCIAL, INC.                                                                                           ",3815157,"SAINT PETERSBURG, FL",44681589.0
57,WINTRUST FINANCIAL CORPORATION                                                                                          ,2260406,"ROSEMONT, IL",43539394.0
58,VALLEY NATIONAL BANCORP                                                                                                 ,1048773,"NEW YORK, NY",41717265.0
59,JOHN DEERE CAPITAL CORPORATION                                                                                          ,3843075,"RENO, NV",40855446.0
60,"CULLEN/FROST BANKERS, INC.                                                                                              ",1102367,"SAN ANTONIO, TX",39443254.0
61,F.N.B. CORPORATION                                                                                                      ,3005332,"PITTSBURGH, PA",37752725.0
62,SOUTH STATE CORPORATION                                                                                                 ,1133437,"WINTER HAVEN, FL",37725356.0
63,"TEXAS CAPITAL BANCSHARES, INC.                                                                                          ",2706735,"DALLAS, TX",36613127.0
64,ASSOCIATED BANC-CORP                                                                                                    ,1199563,"GREEN BAY, WI",35501464.0
65,"BANKUNITED, INC.                                                                                                        ",4028712,"MIAMI LAKES, FL",34752015.0
66,IBERIABANK CORPORATION                                                                                                  ,2291914,"LAFAYETTE, LA",34685945.0
67,"PINNACLE FINANCIAL PARTNERS, INC.                                                                                       ",2925657,"NASHVILLE, TN",33342112.0
68,HANCOCK WHITNEY CORPORATION                                                                                             ,1086533,"GULFPORT, MS",33226177.0
69,"PROSPERITY BANCSHARES, INC.                                                                                             ",1109599,"HOUSTON, TX",32981227.0
70,WEBSTER FINANCIAL CORPORATION                                                                                           ,1145476,"WATERBURY, CT",32736767.0
71,WESTERN ALLIANCE BANCORPORATION                                                                                         ,2349815,"PHOENIX, AZ",31906396.0
72,STERLING BANCORP                                                                                                        ,3083291,"MONTEBELLO, NY",30839893.0
73,"COMMERCE BANCSHARES, INC.                                                                                               ",1049341,"KANSAS CITY, MO",30512745.0
74,UMB FINANCIAL CORPORATION                                                                                               ,1049828,"KANSAS CITY, MO",29753608.0
75,UMPQUA HOLDINGS CORPORATION                                                                                             ,2747644,"PORTLAND, OR",29645248.0
76,"FLAGSTAR BANCORP, INC.                                                                                                  ",3852022,"TROY, MI",27468374.0
77,PACWEST BANCORP                                                                                                         ,2875332,"BEVERLY HILLS, CA",27365738.0
78,"INVESTORS BANCORP, INC.                                                                                                 ",2477754,"SHORT HILLS, NJ",27226288.0
79,"UNITED BANKSHARES, INC.                                                                                                 ",1076217,"CHARLESTON, WV",26234973.0
80,STIFEL FINANCIAL CORP.                                                                                                  ,3063622,"SAINT LOUIS, MO",25624225.0
81,"SMBC AMERICAS HOLDINGS, INC.                                                                                            ",2170804,"NEW YORK, NY",24756996.0
82,FULTON FINANCIAL CORPORATION                                                                                            ,1117129,"LANCASTER, PA",24605346.0
83,MIDLAND FINANCIAL CO.                                                                                                   ,2568278,"OKLAHOMA CITY, OK",24349756.0
84,"FIRST NATIONAL OF NEBRASKA, INC.                                                                                        ",1020902,"OMAHA, NE",23950025.0
85,"ARVEST BANK GROUP, INC.                                                                                                 ",1095674,"BENTONVILLE, AR",23240364.0
86,"FIRST HAWAIIAN, INC.                                                                                                    ",1025608,"HONOLULU, HI",22993715.0
87,FIRSTBANK HOLDING COMPANY                                                                                               ,1060627,"LAKEWOOD, CO",22566388.0
88,OLD NATIONAL BANCORP                                                                                                    ,1098303,"EVANSVILLE, IN",22102203.0
89,SIMMONS FIRST NATIONAL CORPORATION                                                                                      ,1094828,"PINE BLUFF, AR",21903767.0
90,"FIRST MIDWEST BANCORP, INC.                                                                                             ",1208184,"CHICAGO, IL",21244881.0
