Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",2622532000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",2354980000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",1917383000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1895883000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",931798000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",853531000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",467374000.0
8,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",389748522.0
9,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",382334643.0
10,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",372537597.0
11,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",363012000.0
12,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA                                                                   ,1607170,"NEW YORK, NY",303286269.0
13,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"SAN FRANCISCO, CA",296482000.0
14,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",277820248.0
15,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",244626063.0
16,BB&T CORPORATION                                                                                                        ,1074156,"WINSTON-SALEM, NC",225697000.0
17,"SUNTRUST BANKS, INC.                                                                                                    ",1131787,"ATLANTA, GA",215741757.0
18,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",188596000.0
19,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",178869000.0
20,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK, NY",168100307.0
