Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",2687781000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",2434079000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",1951158000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1927555000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",992996000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",895429000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",495426000.0
8,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",473078000.0
9,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",410373281.0
10,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",408604662.0
11,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",390364866.0
12,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",381508000.0
13,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA                                                                   ,1607170,"NEW YORK, NY",315595364.0
14,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"SAN FRANCISCO, CA",294005000.0
15,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",249096021.0
16,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",245610000.0
17,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",198314000.0
18,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",180644000.0
19,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY                                                                          ,3840207,"BLOOMINGTON, IL",178475443.0
20,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",173791532.0
21,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON, DE",172874960.0
22,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK, NY",170809743.0
23,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",169369169.0
24,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",166089890.0
25,"AMERIPRISE FINANCIAL, INC.                                                                                              ",2433312,"MINNEAPOLIS, MN",151849645.0
26,"SANTANDER HOLDINGS USA, INC.                                                                                            ",3981856,"BOSTON, MA",149499477.0
27,BARCLAYS US LLC                                                                                                         ,5006575,"NEW YORK, NY",149420000.0
28,KEYCORP                                                                                                                 ,1068025,"CLEVELAND, OH",145569632.0
29,RBC US GROUP HOLDINGS LLC                                                                                               ,5280254,"TORONTO, CANADA                                  ",139686317.0
30,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",139314491.0
31,NORTHERN TRUST CORPORATION                                                                                              ,1199611,"CHICAGO, IL",136828388.0
32,REGIONS FINANCIAL CORPORATION                                                                                           ,3242838,"BIRMINGHAM, AL",126633000.0
33,"BNP PARIBAS USA, INC.                                                                                                   ",1575569,"NEW YORK, NY",125300535.0
34,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO, NY",119872757.0
35,"CREDIT SUISSE HOLDINGS (USA), INC.                                                                                      ",1574834,"NEW YORK, NY",114766045.0
36,DISCOVER FINANCIAL SERVICES                                                                                             ,3846375,"RIVERWOODS, IL",113995854.0
37,DB USA CORPORATION                                                                                                      ,2816906,"NEW YORK, NY",109356000.0
38,HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,1068191,"COLUMBUS, OH",109001821.0
39,SYNCHRONY FINANCIAL                                                                                                     ,4504654,"STAMFORD, CT",104826000.0
40,"BBVA USA BANCSHARES, INC.                                                                                               ",1078529,"HOUSTON, TX",93603606.0
41,COMERICA INCORPORATED                                                                                                   ,1199844,"DALLAS, TX",73519000.0
42,SVB FINANCIAL GROUP                                                                                                     ,1031449,"SANTA CLARA, CA",71384015.0
43,E*TRADE FINANCIAL CORPORATION                                                                                           ,3412583,"NEW YORK, NY",61416142.0
44,"PEOPLE'S UNITED FINANCIAL, INC.                                                                                         ",3650152,"BRIDGEPORT, CT",58579620.0
