Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3386071000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",2819627000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2260090000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1955163000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1163040000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",1115862000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",553905000.0
8,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"SAN FRANCISCO, CA",549009000.0
9,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",509228000.0
10,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",507327229.0
11,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",469633000.0
12,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",466864739.0
13,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",421602066.0
14,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA                                                                   ,1607170,"NEW YORK, NY",326308055.0
15,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",314706000.0
16,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",241536144.0
17,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",204679933.0
18,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",200416253.0
19,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY                                                                          ,3840207,"BLOOMINGTON, IL",193934683.0
20,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",191365000.0
21,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON, DE",184653995.0
22,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",183728540.0
23,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",182165000.0
