Rank,Name,RSSDID,Location,TotalAsset
64,IBERIABANK CORPORATION                                                                                                  ,2291914,"LAFAYETTE, LA",31260189.0
65,STERLING BANCORP                                                                                                        ,3083291,"MONTEBELLO, NY",30026755.0
66,HANCOCK WHITNEY CORPORATION                                                                                             ,1086533,"GULFPORT, MS",28499484.0
67,"TEXAS CAPITAL BANCSHARES, INC.                                                                                          ",2706735,"DALLAS, TX",28383179.0
68,WEBSTER FINANCIAL CORPORATION                                                                                           ,1145476,"WATERBURY, CT",28256431.0
69,UMPQUA HOLDINGS CORPORATION                                                                                             ,2747644,"PORTLAND, OR",27355625.0
70,"INVESTORS BANCORP, INC.                                                                                                 ",2477754,"SHORT HILLS, NJ",26614380.0
71,PACWEST BANCORP                                                                                                         ,2875332,"BEVERLY HILLS, CA",26324138.0
72,"PINNACLE FINANCIAL PARTNERS, INC.                                                                                       ",2925657,"NASHVILLE, TN",25557858.0
73,"COMMERCE BANCSHARES, INC.                                                                                               ",1049341,"KANSAS CITY, MO",25050001.0
74,TCF FINANCIAL CORPORATION                                                                                               ,2389941,"WAYZATA, MN",24433780.0
75,STIFEL FINANCIAL CORP.                                                                                                  ,3063622,"SAINT LOUIS, MO",24183559.0
76,WESTERN ALLIANCE BANCORPORATION                                                                                         ,2349815,"PHOENIX, AZ",23792846.0
77,UMB FINANCIAL CORPORATION                                                                                               ,1049828,"KANSAS CITY, MO",23556760.0
78,"UTRECHT-AMERICA HOLDINGS, INC.                                                                                          ",2307280,"NEW YORK, NY",23523097.0
79,"SMBC AMERICAS HOLDINGS, INC.                                                                                            ",2170804,"NEW YORK, NY",22832918.0
80,"PROSPERITY BANCSHARES, INC.                                                                                             ",1109599,"HOUSTON, TX",22362841.0
81,CHEMICAL FINANCIAL CORPORATION                                                                                          ,1201934,"DETROIT, MI",21800313.0
82,"FIRST NATIONAL OF NEBRASKA, INC.                                                                                        ",1020902,"OMAHA, NE",21724095.0
83,FULTON FINANCIAL CORPORATION                                                                                            ,1117129,"LANCASTER, PA",20925776.0
84,"FIRST HAWAIIAN, INC.                                                                                                    ",1025608,"HONOLULU, HI",20441136.0
85,OLD NATIONAL BANCORP                                                                                                    ,1098303,"EVANSVILLE, IN",20084448.0
86,"UNITED BANKSHARES, INC.                                                                                                 ",1076217,"CHARLESTON, WV",19645133.0
87,"FLAGSTAR BANCORP, INC.                                                                                                  ",3852022,"TROY, MI",19444871.0
88,MIDLAND FINANCIAL CO.                                                                                                   ,2568278,"OKLAHOMA CITY, OK",19356953.0
89,"MACY'S, INC.                                                                                                            ",4103310,"CINCINNATI, OH",19194002.0
90,"ARVEST BANK GROUP, INC.                                                                                                 ",1095674,"BENTONVILLE, AR",19174539.0
91,FIRSTBANK HOLDING COMPANY                                                                                               ,1060627,"LAKEWOOD, CO",19104821.0
92,CADENCE BANCORPORATION                                                                                                  ,4882802,"HOUSTON, TX",17452911.0
93,BANK OF HAWAII CORPORATION                                                                                              ,1025309,"HONOLULU, HI",17446413.0
94,CATHAY GENERAL BANCORP                                                                                                  ,1843080,"LOS ANGELES, CA",17119092.0
95,UNION BANKSHARES CORPORATION                                                                                            ,1971693,"RICHMOND, VA",16904096.0
96,"WASHINGTON FEDERAL, INC.                                                                                                ",3065617,"SEATTLE, WA",16435208.0
97,SIMMONS FIRST NATIONAL CORPORATION                                                                                      ,1094828,"PINE BLUFF, AR",16096427.0
98,"FIRST MIDWEST BANCORP, INC.                                                                                             ",1208184,"CHICAGO, IL",15817769.0
99,SOUTH STATE CORPORATION                                                                                                 ,1133437,"COLUMBIA, SC",15406887.0
100,"HOPE BANCORP, INC.                                                                                                      ",2961879,"LOS ANGELES, CA",15398789.0
101,"HOME BANCSHARES, INC.                                                                                                   ",1491409,"CONWAY, AR",15179501.0
102,"BCI FINANCIAL GROUP, INC.                                                                                               ",3762457,"MIAMI, FL",14790073.0
103,"APPLE FINANCIAL HOLDINGS, INC.                                                                                          ",3446412,"NEW YORK, NY",14335163.0
104,"THIRD FEDERAL SAVINGS AND LOAN ASSOCIATION OF CLEVELAND, MHC                                                            ",3828036,"CLEVELAND, OH",14206575.0
105,"INDEPENDENT BANK GROUP, INC.                                                                                            ",3140288,"MCKINNEY, TX",14145383.0
106,FIRST FINANCIAL BANCORP                                                                                                 ,1071276,"CINCINNATI, OH",14074263.0
107,"HILLTOP HOLDINGS, INC                                                                                                   ",3838727,"DALLAS, TX",13549370.0
108,"FIRST INTERSTATE BANCSYSTEM, INC.                                                                                       ",1123670,"BILLINGS, MT",13493568.0
109,TRUSTMARK CORPORATION                                                                                                   ,1079562,"JACKSON, MS",13478017.0
110,"CENTRAL BANCOMPANY, INC                                                                                                 ",1094314,"JEFFERSON CITY, MO",13410897.0
111,"HAWAIIAN ELECTRIC INDUSTRIES, INC.                                                                                      ",3842957,"HONOLULU, HI",13360105.0
112,"COLUMBIA BANKING SYSTEM, INC.                                                                                           ",2078816,"TACOMA, WA",13064436.0
113,RENASANT CORPORATION                                                                                                    ,1098844,"TUPELO, MS",12862395.0
114,"GREAT WESTERN BANCORP, INC.                                                                                             ",4809920,"SIOUX FALLS, SD",12830162.0
115,BREMER FINANCIAL CORPORATION                                                                                            ,1020180,"SAINT PAUL, MN",12623882.0
116,"WESBANCO, INC.                                                                                                          ",1070448,"WHEELING, WV",12607887.0
117,CENTERSTATE BANK CORPORATION                                                                                            ,2868129,"WINTER HAVEN, FL",12587637.0
118,"UNITED COMMUNITY BANKS, INC.                                                                                            ",1249347,"BLAIRSVILLE, GA",12508442.0
119,FIRST BANCORP                                                                                                           ,2744894,"SAN JUAN, PUERTO RICO                             ",12376780.0
120,WSFS FINANCIAL CORPORATION                                                                                              ,3844269,"WILMINGTON, DE",12184417.0
121,"BERKSHIRE HILLS BANCORP, INC                                                                                            ",2333663,"BOSTON, MA",12177391.0
122,"GLACIER BANCORP, INC.                                                                                                   ",2003975,"KALISPELL, MT",12073779.0
123,INTERNATIONAL BANCSHARES CORPORATION                                                                                    ,1104231,"LAREDO, TX",12027705.0
124,BANNER CORPORATION                                                                                                      ,2126977,"WALLA WALLA, WA",11740285.0
125,AMERIS BANCORP                                                                                                          ,1082067,"MOULTRIE, GA",11656275.0
126,"PACIFIC PREMIER BANCORP, INC.                                                                                           ",3489594,"IRVINE, CA",11580495.0
127,EASTERN BANK CORPORATION                                                                                                ,1427239,"BOSTON, MA",11332739.0
128,"HEARTLAND FINANCIAL USA, INC.                                                                                           ",1206546,"DUBUQUE, IA",11312495.0
129,CVB FINANCIAL CORP.                                                                                                     ,1029222,"ONTARIO, CA",11304957.0
130,"PINNACLE BANCORP, INC.                                                                                                  ",1053272,"OMAHA, NE",11278499.0
131,FIRST AMERICAN FINANCIAL CORPORATION                                                                                    ,1250101,"SANTA ANA, CA",11160268.0
132,"COMMUNITY BANK SYSTEM, INC.                                                                                             ",1048867,"DEWITT, NY",10916467.0
133,"AXOS FINANCIAL, INC.                                                                                                    ",3814310,"LAS VEGAS, NV",10875561.0
134,NORTHWEST BANCSHARES INC                                                                                                ,4122722,"WARREN, PA",10415970.0
135,FIRST MERCHANTS CORPORATION                                                                                             ,1208559,"MUNCIE, IN",10214189.0
136,"CUSTOMERS BANCORP, INC                                                                                                  ",4284536,"WYOMISSING, PA",10144014.0
