Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3954687000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",3238223000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2394105000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1939709000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1589443000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",1222233000.0
7,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"WESTLAKE, TX",680950000.0
8,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",586517000.0
9,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",543979000.0
10,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",541469014.0
11,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",524292372.0
12,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",473811000.0
13,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",434195249.0
14,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",322350000.0
15,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",231038682.0
16,SVB FINANCIAL GROUP                                                                                                     ,1031449,"SANTA CLARA, CA",220359000.0
17,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",211458822.0
18,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",211141730.0
19,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",209942000.0
20,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",195862000.0
21,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON, DE",195077264.0
22,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",192471585.0
23,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",184297000.0
24,KEYCORP                                                                                                                 ,1068025,"CLEVELAND, OH",181472726.0
25,HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,1068191,"COLUMBUS, OH",176855518.0
26,RBC US GROUP HOLDINGS LLC                                                                                               ,5280254,"TORONTO, CANADA                                  ",174446769.0
27,BARCLAYS US LLC                                                                                                         ,5006575,"NEW YORK, NY",173847000.0
28,NORTHERN TRUST CORPORATION                                                                                              ,1199611,"CHICAGO, IL",172564967.0
29,"AMERIPRISE FINANCIAL, INC.                                                                                              ",2433312,"MINNEAPOLIS, MN",167529727.0
30,REGIONS FINANCIAL CORPORATION                                                                                           ,3242838,"BIRMINGHAM, AL",164366000.0
31,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK, NY",159222509.0
32,"BNP PARIBAS USA, INC.                                                                                                   ",1575569,"NEW YORK, NY",157612515.0
33,"SANTANDER HOLDINGS USA, INC.                                                                                            ",3981856,"BOSTON, MA",153786178.0
34,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO, NY",149825907.0
35,DB USA CORPORATION                                                                                                      ,2816906,"NEW YORK, NY",120429000.0
36,"FIRST CITIZENS BANCSHARES, INC.                                                                                         ",1075612,"RALEIGH, NC",108596694.0
37,DISCOVER FINANCIAL SERVICES                                                                                             ,3846375,"RIVERWOODS, IL",107412248.0
38,"CREDIT SUISSE HOLDINGS (USA), INC.                                                                                      ",1574834,"NEW YORK, NY",95932629.0
39,SYNCHRONY FINANCIAL                                                                                                     ,4504654,"STAMFORD, CT",95267000.0
40,COMERICA INCORPORATED                                                                                                   ,1199844,"DALLAS, TX",89318000.0
41,FIRST HORIZON CORPORATION                                                                                               ,1094640,"MEMPHIS, TN",88661691.0
42,"RAYMOND JAMES FINANCIAL, INC.                                                                                           ",3815157,"SAINT PETERSBURG, FL",73100448.0
43,"POPULAR, INC.                                                                                                           ",1129382,"SAN JUAN, PUERTO RICO                             ",69546000.0
44,CIBC BANCORP USA INC.                                                                                                   ,5014141,"CHICAGO, IL",66733208.0
45,WEBSTER FINANCIAL CORPORATION                                                                                           ,1145476,"WATERBURY, CT",65131485.0
46,"PEOPLE'S UNITED FINANCIAL, INC.                                                                                         ",3650152,"BRIDGEPORT, CT",62994792.0
47,"EAST WEST BANCORP, INC.                                                                                                 ",2734233,"PASADENA, CA",62241456.0
48,"NEW YORK COMMUNITY BANCORP, INC.                                                                                        ",2132932,"HICKSVILLE, NY",61005398.0
49,WESTERN ALLIANCE BANCORPORATION                                                                                         ,2349815,"PHOENIX, AZ",60576061.0
50,SYNOVUS FINANCIAL CORP.                                                                                                 ,1078846,"COLUMBUS, GA",56419549.0
51,MIZUHO AMERICAS LLC                                                                                                     ,5034792,"NEW YORK, NY",51797000.0
52,"CULLEN/FROST BANKERS, INC.                                                                                              ",1102367,"SAN ANTONIO, TX",51332733.0
53,WINTRUST FINANCIAL CORPORATION                                                                                          ,2260406,"ROSEMONT, IL",50250661.0
54,BOK FINANCIAL CORPORATION                                                                                               ,1883693,"TULSA, OK",46890259.0
55,SOUTHSTATE CORPORATION                                                                                                  ,1133437,"WINTER HAVEN, FL",46076722.0
56,OLD NATIONAL BANCORP                                                                                                    ,1098303,"EVANSVILLE, IN",45834648.0
57,VALLEY NATIONAL BANCORP                                                                                                 ,1048773,"NEW YORK, NY",43551457.0
58,JOHN DEERE CAPITAL CORPORATION                                                                                          ,3843075,"RENO, NV",43433500.0
59,F.N.B. CORPORATION                                                                                                      ,3005332,"PITTSBURGH, PA",42054781.0
60,UMB FINANCIAL CORPORATION                                                                                               ,1049828,"KANSAS CITY, MO",40605742.0
61,"PINNACLE FINANCIAL PARTNERS, INC.                                                                                       ",2925657,"NASHVILLE, TN",39400378.0
62,PACWEST BANCORP                                                                                                         ,2875332,"BEVERLY HILLS, CA",39249639.0
63,"PROSPERITY BANCSHARES, INC.                                                                                             ",1109599,"HOUSTON, TX",38285059.0
64,"TIAA FSB HOLDINGS, INC.                                                                                                 ",3838857,"JACKSONVILLE, FL",37959407.0
65,"BANKUNITED, INC.                                                                                                        ",4028712,"MIAMI LAKES, FL",36336896.0
66,HANCOCK WHITNEY CORPORATION                                                                                             ,1086533,"GULFPORT, MS",36330468.0
67,STIFEL FINANCIAL CORP.                                                                                                  ,3063622,"SAINT LOUIS, MO",35087698.0
