Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3773884000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",3072953000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2381064000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1877745000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1555994000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",1160029000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",600973000.0
8,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"WESTLAKE, TX",577563000.0
9,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",559495699.0
10,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",548438000.0
11,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",513100714.0
12,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",444232099.0
13,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",427953000.0
14,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",303568000.0
15,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",231094845.0
16,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",225138533.0
17,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",214915000.0
18,SVB FINANCIAL GROUP                                                                                                     ,1031449,"SANTA CLARA, CA",212868000.0
19,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",205463245.0
20,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",202479000.0
