Event,EventDate,OtherInstitutionName,OtherInstitutionID,Notes
Acquisition,11/13/1998,"NATIONSBANK OF TENNESSEE, N.A.",116237,"NATIONSBANK OF TENNESSEE, N.A. transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,10/9/1998,"BARNETT BANK, NATIONAL ASSOCIATION",182232,"BARNETT BANK, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,10/9/1998,COMMUNITY BANK OF THE ISLANDS,1165269,"COMMUNITY BANK OF THE ISLANDS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/7/1998,"NATIONSBANK, NATIONAL ASSOCIATION (GLYNN COUNTY)",976879,"NATIONSBANK, NATIONAL ASSOCIATION (GLYNN COUNTY) transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,7/10/1998,"SUNWEST BANK OF EL PASO, NATIONAL ASSOCIATION",941158,"SUNWEST BANK OF EL PASO, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,7/10/1998,BOATMEN'S NATIONAL BANK OF AUSTIN,1216125,"BOATMEN'S NATIONAL BANK OF AUSTIN transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,5/7/1998,"NATIONSBANK OF TEXAS, N.A.",1213683,"NATIONSBANK OF TEXAS, N.A. transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,3/28/1998,BOATMEN'S TRUST COMPANY OF ARKANSAS,1838479,"BOATMEN'S TRUST COMPANY OF ARKANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,3/13/1998,BOATMENS TRUST COMPANY,478757,"BOATMENS TRUST COMPANY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,3/13/1998,"BOATMEN'S TRUST COMPANY, AN OKLAHOMA TRUST COMPANY",2175797,"BOATMEN'S TRUST COMPANY, AN OKLAHOMA TRUST COMPANY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,1/23/1998,BOATMEN'S TRUST COMPANY OF ILLINOIS,1943953,"BOATMEN'S TRUST COMPANY OF ILLINOIS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,1/16/1998,"SUN WORLD, N.A.",41076,"SUN WORLD, N.A. transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,9/20/1997,BOATMEN'S TRUST COMPANY OF KANSAS,345952,"BOATMEN'S TRUST COMPANY OF KANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S NATIONAL BANK OF PINE BLUFF,46642,"BOATMEN'S NATIONAL BANK OF PINE BLUFF transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,"SUNWEST BANK OF RATON, NATIONAL ASSOCIATION",207751,"SUNWEST BANK OF RATON, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,SUNWEST BANK OF SANTA FE,218458,"SUNWEST BANK OF SANTA FE transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,"SUNWEST BANK OF LAS CRUCES, NATIONAL ASSOCIATION",226154,"SUNWEST BANK OF LAS CRUCES, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S BANK OF NORTHEAST ARKANSAS,285441,"BOATMEN'S BANK OF NORTHEAST ARKANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,"SUNWEST BANK OF ALBUQUERQUE, NATIONAL ASSOCIATION",404756,"SUNWEST BANK OF ALBUQUERQUE, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S NATIONAL BANK OF NORTH CENTRAL ARKANSAS,450847,"BOATMEN'S NATIONAL BANK OF NORTH CENTRAL ARKANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S NATIONAL BANK OF CONWAY,451741,"BOATMEN'S NATIONAL BANK OF CONWAY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S NATIONAL BANK OF HOT SPRINGS,459747,"BOATMEN'S NATIONAL BANK OF HOT SPRINGS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,"SUNWEST BANK OF ROSWELL, NATIONAL ASSOCIATION",489557,"SUNWEST BANK OF ROSWELL, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S NATIONAL BANK OF SOUTH ARKANSAS,502148,"BOATMEN'S NATIONAL BANK OF SOUTH ARKANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S NATIONAL BANK OF NEWARK,562946,"BOATMEN'S NATIONAL BANK OF NEWARK transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,SUNWEST BANK OF RIO ARRIBA NATIONAL ASSOCIATION,563055,"SUNWEST BANK OF RIO ARRIBA NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S NATIONAL BANK OF NORTHWEST IOWA,614041,"BOATMEN'S NATIONAL BANK OF NORTHWEST IOWA transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,"SUNWEST BANK OF CLOVIS, NATIONAL ASSOCIATION",639259,"SUNWEST BANK OF CLOVIS, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S BANK OF FORT DODGE,654140,"BOATMEN'S BANK OF FORT DODGE transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S BANK OF NORTH IOWA,691547,"BOATMEN'S BANK OF NORTH IOWA transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,SUNWEST BANK OF GALLUP,758253,"SUNWEST BANK OF GALLUP transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,"SUNWEST BANK OF HOBBS, NATIONAL ASSOCIATION",831558,"SUNWEST BANK OF HOBBS, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,"BOATMEN'S BANK IOWA, NATIONAL ASSOCIATION",873240,"BOATMEN'S BANK IOWA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S NATIONAL BANK OF ARKANSAS,883249,"BOATMEN'S NATIONAL BANK OF ARKANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S NATIONAL BANK OF BATESVILLE,919447,"BOATMEN'S NATIONAL BANK OF BATESVILLE transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S NATIONAL BANK OF RUSSELLVILLE,930545,"BOATMEN'S NATIONAL BANK OF RUSSELLVILLE transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,BOATMEN'S NATIONAL BANK OF NORTHWEST ARKANSAS,941242,"BOATMEN'S NATIONAL BANK OF NORTHWEST ARKANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,SUNWEST BANK OF FARMINGTON,977755,"SUNWEST BANK OF FARMINGTON transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/16/1997,SUNWEST BANK OF GRANT COUNTY,1009251,"SUNWEST BANK OF GRANT COUNTY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,7/12/1997,BOATMENS NATIONAL BANK OF OKLAHOMA,273457,"BOATMENS NATIONAL BANK OF OKLAHOMA transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,7/12/1997,BOATMEN'S BANK OF SOUTHERN MISSOURI,557652,"BOATMEN'S BANK OF SOUTHERN MISSOURI transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S OSAGE BANK,105558,"BOATMEN'S OSAGE BANK transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S BANK OF TROY,213257,"BOATMEN'S BANK OF TROY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S BANK OF PULASKI COUNTY,241755,"BOATMEN'S BANK OF PULASKI COUNTY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S BANK OF QUINCY,347246,"BOATMEN'S BANK OF QUINCY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,"BOATMEN'S NATIONAL BANK OF ST. LOUIS, THE",350152,"BOATMEN'S NATIONAL BANK OF ST. LOUIS, THE transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S NATIONAL BANK OF CAPE GIRARDEAU,360441,"BOATMEN'S NATIONAL BANK OF CAPE GIRARDEAU transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S FIRST NATIONAL BANK OF WEST PLAINS,384951,"BOATMEN'S FIRST NATIONAL BANK OF WEST PLAINS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S BANK OF SOUTH CENTRAL ILLINOIS,389442,"BOATMEN'S BANK OF SOUTH CENTRAL ILLINOIS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S BANK OF MID MISSOURI,422648,"BOATMEN'S BANK OF MID MISSOURI transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S NATIONAL BANK OF COLES COUNTY,518233,"BOATMEN'S NATIONAL BANK OF COLES COUNTY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMENS BANK ROLLA,526555,"BOATMENS BANK ROLLA transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S NATIONAL BANK OF LEBANON,654850,"BOATMEN'S NATIONAL BANK OF LEBANON transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S NATIONAL BANK OF CENTRAL ILLINOIS,657244,"BOATMEN'S NATIONAL BANK OF CENTRAL ILLINOIS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S BANK OF MARSHALL,672050,"BOATMEN'S BANK OF MARSHALL transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S RIVER VALLEY BANK,741853,"BOATMEN'S RIVER VALLEY BANK transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S BANK OF FRANKLIN COUNTY,758646,"BOATMEN'S BANK OF FRANKLIN COUNTY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,"NATIONSBANK, NATIONAL ASSOCIATION (MID-WEST)",791559,"NATIONSBANK, NATIONAL ASSOCIATION (MID-WEST) transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMEN'S NATIONAL BANK OF BOONVILLE,823441,"BOATMEN'S NATIONAL BANK OF BOONVILLE transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/14/1997,BOATMENS BANK OF KENNETT,918758,"BOATMENS BANK OF KENNETT transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
