RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
1226,4275356,3968437,GLOBAL FRANCHISE FUND (FOR TAX-EXEMPT QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1227,5487549,3968437,GLOBAL CONCENTRATED EQUITY FUND (FOR QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1228,5487558,3968437,GLOBAL FRANCHISE MOTHER FUND III,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1229,5524051,3968437,U.S. INVESTMENT GRADE CORPORATE BOND MOTHER FUND,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1230,5524042,3968437,U.S. INVESTMENT GRADE CORPORATE BOND FUND J (FOR QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1231,5425608,3968437,DANISH COVERED BOND MOTHER FUND,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1232,5425617,3968437,DANISH COVERED BOND FUND J (FOR QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1233,4270182,3968437,MORGAN STANLEY HIGH INTEREST RATE CURRENCY FUND (SEMI-ANNUAL DISTRIBUTION),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1234,5253128,3968437,GLOBAL FRANCHISE FUND M-2 (FOR QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1235,4981853,3968437,GLOBAL FRANCHISE FUND T (FOR TAX-EXEMPT QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1236,5211324,3968437,GLOBAL PREMIER CREDIT FUND II (FOR QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1237,5579752,3968437,GLOBAL FRANCHISE FUND M-4 (FOR QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1238,5493568,3968437,GLOBAL ASSET BACKED SECURITIES FUND T (FOR TAX-EXEMPT QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1239,4173788,3968437,GLOBAL BOND MOTHER FUND,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1240,4173827,3968437,GLOBAL REAL ESTATE MOTHER FUND,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1241,4173724,3968437,MORGAN STANLEY EMERGING COUNTRIES HIGH INTEREST RATE CURRENCY MOTHER FUND,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1242,4173751,3968437,MORGAN STANLEY DEVELOPED COUNTRIES HIGH INTEREST RATE CURRENCY MOTHER FUND,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1243,5836286,3968437,GLOBAL CORPORATE QUALITY BOND (ESG) FUND SL,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1244,5836277,3968437,GLOBAL INSIGHT FUND SL,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1245,5836295,3968437,GLOBAL INSIGHT MOTHER FUND,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1246,5336544,3968437,GLOBAL FRANCHISE FUND M-3 (FOR QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1247,5836268,3968437,GLOBAL CORPORATE QUALITY BOND (ESG) MOTHER FUND,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1248,5836222,3968437,GLOBAL BUY & HOLD SERIES - US INVESTMENT GRADE BOND FUND 2023-02 (FOR QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1249,4173229,3968437,GLOBAL FRANCHISE MOTHER FUND,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1250,5336508,3968437,EURO INVESTMENT GRADE CREDIT MOTHER FUND,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1251,5114966,3968437,GLOBAL CORPORATE BOND FUND T (FOR QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1252,5114975,3968437,GLOBAL CORPORATE BOND MOTHER FUND,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1253,4181121,3968437,GLOBAL FRANCHISE FUND HEDGED (FOR TAX-EXEMPT QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1254,4181019,3968437,GLOBAL BOND FUND I (FOR QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1255,4181064,3968437,GLOBAL BOND OPEN IM VA-3 UNHEDGED (FOR QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1256,4181055,3968437,GLOBAL BOND OPEN IM VA (JPY-HEDGED) (FOR QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1257,5614457,3968437,GLOBAL ASSET BACKED SECURITIES FUND J-3 (FOR QUALIFIED INSTITUTIONAL INVESTORS ONLY),International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1258,3968512,3937198,MS JAPAN REIT HOLDING KK,International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1259,3968062,3937198,"MORGAN STANLEY JAPAN GROUP CO., LTD.",International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1260,3945867,3937198,"MORGAN STANLEY CREDIT PRODUCTS JAPAN CO., LTD.",International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1261,4057235,3945867,"TM, LIMITED",International Nonbank Sub of Domestic Entities,TOKYO,JAPAN                                   
1262,3936351,3936708,MORGAN STANLEY CEDAR HOLDINGS LIMITED,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1263,3934106,3936351,ALPINO INVESTMENTS LIMITED,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1264,3934768,3934106,MORGAN STANLEY CEDAR 4 LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
